"gid","seas","wk","team","temp","humd","wspd","ou","sprfor","ptsfor","Sunday","Indoors","Precipitation","GoodConditions","VeryHot","VeryCold","VeryHumid","VeryWindy","BadWeather","NaturalSurface","expectedpts","expectedwin","win","tie","home","opp","ptsagainst","uid","ptdiff","STID","SOID","gm","oppgm","seasSumWins.postgame","seasSumPtDiff.postgame","seasAvgPtDiff","prevPtsAgainst","prevBye","prevWin","prevCumWin","prevPtDiff","prevCumPtDiff","prevAvgPtDiff","prevOppPtsAgainst","prevOppWin","prevOppBye","prevOppCumWin","prevOppPtDiff","prevOppCumPtDiff","prevOppAvgPtDiff"
29,2000,2,"ARI",100,26,7,38.5,32,1,0,0,0,1,0,0,0,1,1,-3,20.75,1,1,0,1,"DAL",31,4109,-30,"ARI2000","DAL2000",2,2,1,-35,-17.5,21,0,0,0,-5,-5,-5,41,0,0,0,-40,-40,-40
45,2000,4,"ARI",87,16,6,41.5,3,1,0,0,0,1,0,0,0,1,1,-2.5,22,1,0,0,1,"GB",29,4125,-28,"ARI2000","GB2000",3,4,1,-63,-21,31,1,1,1,-30,-35,-17.5,3,1,0,1,-2,-30,-10
67,2000,5,"ARI",72,58,10,47.5,4,20,1,0,0,1,0,0,0,0,0,1,21.75,0,0,0,0,"SF",27,67,-7,"ARI2000","SF2000",4,5,1,-70,-17.5,29,0,0,1,-28,-63,-21,24,1,0,1,17,-45,-11.25
73,2000,6,"ARI",87,25,15,39.5,29,1,0,0,0,1,0,0,1,1,1,-4.5,22,1,1,0,1,"CLE",21,4153,-20,"ARI2000","CLE2000",5,6,2,-90,-18,27,0,0,1,-7,-70,-17.5,12,0,0,2,-11,-65,-13
87,2000,7,"ARI",80,24,3,39,14,1,0,0,1,1,0,0,0,1,1,2.5,18.25,0,0,0,1,"PHI",33,4167,-32,"ARI2000","PHI2000",6,7,2,-122,-20.3333333333333,21,0,1,2,-20,-90,-18,17,0,0,3,-16,-19,-3.16666666666667
106,2000,8,"ARI",70,100,10,42.5,6.5,7,1,0,1,0,0,0,1,0,1,0,18,0,0,0,0,"DAL",48,106,-41,"ARI2000","DAL2000",7,7,2,-163,-23.2857142857143,33,0,0,2,-32,-122,-20.3333333333333,19,0,0,2,-5,-77,-12.8333333333333
115,2000,9,"ARI",70,49,9,40,10,1,0,0,0,0,0,0,0,0,1,6.5,16.75,0,0,0,1,"NO",21,4195,-20,"ARI2000","NO2000",8,8,2,-183,-22.875,48,0,0,2,-41,-163,-23.2857142857143,19,1,0,4,2,-24,-3.42857142857143
129,2000,10,"ARI",65,52,8,40,16,1,0,0,0,0,0,0,0,0,1,9.5,15.25,0,1,0,1,"WAS",15,4209,-14,"ARI2000","WAS2000",9,10,3,-197,-21.8888888888889,21,0,0,2,-20,-183,-22.875,27,0,0,6,-27,-61,-6.77777777777778
150,2000,11,"ARI",65,58.639029322548,0,48,13.5,14,1,1,0,1,0,0,0,0,0,0,17.25,0,0,0,0,"MIN",31,150,-17,"ARI2000","MIN2000",10,10,3,-214,-21.4,15,0,1,3,-14,-197,-21.8888888888889,26,0,0,7,-6,-88,-9.77777777777778
169,2000,12,"ARI",39,55,10,38,8,9,1,0,0,0,0,1,0,0,1,0,15,0,0,0,0,"PHI",34,169,-25,"ARI2000","PHI2000",11,12,3,-239,-21.7272727272727,31,0,0,3,-17,-214,-21.4,23,1,0,7,3,-34,-3.09090909090909
