"Name","Pos","Year","Tackles","TFL","Sacks","Int","PBU","FF","FR","College","teamTacklePerc","Height","Weight"
"B.J. Goodson","LB","SR",83.5,14,5.5,2,3,1,1,"clemson",11,73,250
"T.J. Green","S","JR",81,5.5,1,0,3,2,0,"clemson",10.7,75,205
"Ben Boulware","LB","JR",63,8,3.5,2,7,3,0,"clemson",8.3,71,240
"Kevin Dodd","DE","JR",53,23.5,12,0,0,1,0,"clemson",7,77,275
"Jayron Kearse","S","JR",51.5,6.5,0,1,6,1,1,"clemson",6.8,77,220
"Shaq Lawson","DE","JR",48,25.5,12.5,0,0,1,0,"clemson",6.3,75,270
"Cordrea Tankersley","CB","JR",43.5,3.5,1,5,9,0,0,"clemson",5.7,73,195
"Travis Blanks","LB","JR",31,4,1,0,2,0,0,"clemson",4.1,73,210
"Dorian O'Daniel","LB","SO",29,5.5,0,0,1,0,0,"clemson",3.8,73,215
"Carlos Watkins","DT","JR",26,7.5,3.5,1,3,0,0,"clemson",3.4,75,300
"Christian Wilkins","DT","FR",25.5,4.5,2,0,0,1,0,"clemson",3.4,76,315
"Mackensie Alexander","CB","SO",20.5,2,0,0,5,0,0,"clemson",2.7,71,195
"Austin Bryant","DE","FR",18,2,1.5,0,1,0,0,"clemson",2.4,76,265
"Van Smith","S","FR",16,1,0,1,0,0,0,"clemson",2.1,72,190
"Roderick Byers","DT","SR",15,1,0,0,1,0,0,"clemson",2,76,295
"Ryan Carter","CB","SO",13.5,1,0,0,2,0,0,"clemson",1.8,69,175
"Jadar Johnson","S","JR",13.5,0.5,0,2,1,0,0,"clemson",1.8,73,205
"Scott Pagano","DT","SO",13,2,0,0,0,0,0,"clemson",1.7,75,295
"Jalen Williams","LB","FR",11,2.5,2,0,0,0,0,"clemson",1.5,69,225
"Adrian Baker","CB","SO",11,0,0,2,1,0,0,"clemson",1.5,72,180
"D.J. Reader","DT","SR",10.5,1.5,0.5,0,0,0,0,"clemson",1.4,75,325
"Judah Davis","LB","FR",8,0.5,0,0,0,0,0,"clemson",1.1,73,230
"Richard Yeargin","DE","FR",6.5,1,1,0,0,0,0,"clemson",0.9,75,255
"Jabril Robinson","DT","FR",5.5,1,1,0,0,0,0,"clemson",0.7,74,280
"Jefferie Gibson","S","FR",5.5,1,0,0,0,0,0,"clemson",0.7,76,200
"Raekwon McMillan","LB","SO",88,4,1.5,0,4,0,0,"ohio-state",12.7,74,240
"Joshua Perry","LB","SR",79,7.5,3.5,0,4,0,0,"ohio-state",11.4,76,254
"Tyvis Powell","S","JR",56,0.5,0,3,3,0,0,"ohio-state",8.1,75,210
"Vonn Bell","S","JR",54,1,0,2,9,0,1,"ohio-state",7.8,71,205
"Darron Lee","LB","SO",51,11,4.5,1,2,2,0,"ohio-state",7.4,74,235
"Joey Bosa","DE","JR",43,16,5,1,4,1,0,"ohio-state",6.2,78,275
"Tyquan Lewis","DL","SO",42.5,14,8,0,1,0,0,"ohio-state",6.1,76,260
"Gareon Conley","CB","SO",41,1,0.5,2,5,0,0,"ohio-state",5.9,72,195
"Adolphus Washington","DL","SR",36,7,4,1,1,1,0,"ohio-state",5.2,76,290
"Eli Apple","CB","SO",28,2,0,1,8,0,1,"ohio-state",4,73,200
"Sam Hubbard","DE","FR",22,8,6.5,1,1,1,0,"ohio-state",3.2,77,265
"Dante Booker","LB","SO",18,1,0,0,0,0,0,"ohio-state",2.6,75,233
"Tommy Schutt","DL","SR",16,5,2.5,0,0,1,0,"ohio-state",2.3,75,290
"Chris Worley","LB","SO",15,1.5,1,0,0,1,0,"ohio-state",2.2,74,225
"Cam Williams","LB","SR",10,0.5,0,0,0,0,0,"ohio-state",1.4,73,225
"Jalyn Holmes","DL","SO",8,1.5,1,0,0,1,0,"ohio-state",1.2,77,265
"Michael Hill","DL","SO",8,0.5,0,0,0,0,0,"ohio-state",1.2,75,295
"Malik Hooker","S","FR",8,0,0,0,0,0,0,"ohio-state",1.2,74,205
"Joel Hale","OL","SR",7,0,0,0,0,0,0,"ohio-state",1,76,295
"Damon Webb","CB","SO",6.5,0,0,0,0,0,0,"ohio-state",0.9,71,193
"Terry McLaurin","WR","FR",6,0,0,0,0,0,0,"ohio-state",0.9,73,200
"Denzel Ward","CB","FR",6,0,0,0,0,0,0,"ohio-state",0.9,71,180
"Erick Smith","S","SO",5.5,0,0,0,0,0,0,"ohio-state",0.8,72,202
"Parris Campbell","WR","FR",5,0,0,0,0,0,0,"ohio-state",0.7,73,205
"Marshon Lattimore","CB","FR",4.5,0,0,0,3,0,0,"ohio-state",0.7,72,195
"Dominique Alexander","LB","JR",78.5,7,0.5,1,2,0,0,"oklahoma",10.4,72,220
"Jordan Evans","LB","JR",66,5,1,0,4,1,1,"oklahoma",8.7,74,239
"Ahmad Thomas","S","JR",62,1.5,1.5,3,3,0,0,"oklahoma",8.2,72,213
"Eric Striker","LB","SR",54,19,7.5,1,3,1,0,"oklahoma",7.2,72,222
"Steven Parker","S","SO",50.5,4,1.5,0,4,0,0,"oklahoma",6.7,73,200
"Charles Tapper","DE","SR",40.5,10,7,0,3,4,1,"oklahoma",5.4,74,282
